iter	Passed	Remaining
0	148	148388
1	149	74744
2	151	50246
3	152	37956
4	153	30566
5	154	25636
6	155	22115
7	157	19562
8	158	17500
9	160	15854
10	161	14505
11	162	13381
12	163	12429
13	164	11614
14	166	10907
15	167	10291
16	168	9744
17	169	9257
18	171	8842
19	172	8473
20	174	8118
21	175	7807
22	177	7522
23	178	7252
24	179	7008
25	181	6803
26	183	6612
27	185	6425
28	187	6263
29	188	6088
30	189	5925
31	190	5765
32	191	5615
33	192	5474
34	193	5340
35	194	5213
36	195	5093
37	196	4981
38	197	4871
39	198	4765
40	199	4664
41	200	4573
42	202	4496
43	203	4411
44	203	4329
45	205	4251
46	205	4175
47	206	4102
48	207	4031
49	208	3963
50	209	3897
51	210	3835
52	211	3774
53	212	3717
54	213	3661
55	213	3606
56	214	3553
57	216	3518
58	217	3472
59	218	3425
60	219	3379
61	220	3334
62	221	3291
63	222	3249
64	223	3208
65	223	3168
66	224	3130
67	225	3087
68	226	3052
69	227	3017
70	227	2983
71	228	2949
72	229	2919
73	231	2896
74	232	2865
75	233	2835
76	234	2806
77	234	2777
78	235	2750
79	236	2722
80	237	2696
81	238	2670
82	239	2645
83	240	2621
84	240	2593
85	241	2570
86	242	2544
87	243	2521
88	244	2507
89	246	2490
90	247	2472
91	248	2456
92	250	2439
93	251	2421
94	252	2401
95	252	2382
96	253	2363
97	254	2344
98	255	2326
99	256	2308
100	257	2290
101	257	2270
102	258	2255
103	260	2242
104	261	2226
105	262	2210
106	262	2194
107	263	2178
108	264	2163
109	265	2148
110	266	2133
111	267	2118
112	268	2104
113	269	2090
114	269	2076
115	270	2061
116	271	2048
117	272	2035
118	273	2021
119	274	2014
120	275	2003
121	276	1990
122	277	1975
123	278	1963
124	278	1952
125	279	1940
126	280	1929
127	281	1915
128	282	1904
129	282	1893
130	283	1883
131	284	1872
132	285	1862
133	286	1852
134	287	1842
135	289	1837
136	290	1828
137	290	1817
138	291	1808
139	292	1799
140	293	1789
141	294	1780
142	295	1770
143	296	1761
144	297	1752
145	298	1743
146	299	1735
147	300	1732
148	302	1728
149	305	1730
150	306	1722
151	307	1714
152	308	1705
153	309	1697
154	309	1689
155	310	1681
156	311	1673
157	312	1666
158	313	1658
159	314	1651
160	315	1644
161	316	1636
162	317	1629
163	318	1625
164	319	1618
165	320	1611
166	321	1604
167	322	1597
168	323	1590
169	324	1583
170	325	1576
171	326	1569
172	327	1563
173	328	1557
174	328	1550
175	329	1544
176	330	1537
177	331	1531
178	332	1525
179	334	1522
180	334	1513
181	335	1507
182	336	1501
183	337	1495
184	338	1489
185	339	1483
186	339	1477
187	341	1472
188	341	1467
189	342	1461
190	343	1455
191	344	1449
192	345	1444
193	346	1438
194	347	1436
195	348	1431
196	349	1425
197	350	1420
198	351	1415
199	352	1409
200	353	1404
201	354	1399
202	355	1394
203	356	1389
204	356	1383
205	357	1378
206	358	1373
207	359	1368
208	360	1363
209	361	1358
210	362	1356
211	363	1352
212	364	1347
213	365	1342
214	366	1337
215	367	1333
216	368	1328
217	369	1323
218	369	1319
219	370	1314
220	371	1310
221	372	1305
222	373	1301
223	374	1296
224	375	1292
225	376	1287
226	378	1287
227	378	1283
228	379	1278
229	380	1274
230	381	1270
231	382	1266
232	383	1262
233	384	1258
234	385	1254
235	386	1249
236	387	1245
237	387	1241
238	388	1237
239	389	1233
240	390	1229
241	391	1226
242	393	1224
243	394	1220
244	394	1216
245	395	1213
246	396	1209
247	397	1205
248	398	1202
249	399	1198
250	400	1194
251	401	1190
252	402	1187
253	402	1183
254	403	1179
255	404	1175
256	405	1172
257	407	1171
258	408	1168
259	409	1164
260	410	1161
261	410	1157
262	411	1154
263	412	1150
264	413	1147
265	414	1143
266	415	1140
267	416	1137
268	417	1133
269	418	1130
270	418	1127
271	419	1123
272	421	1121
273	422	1119
274	423	1115
275	424	1112
276	424	1109
277	426	1106
278	427	1104
279	428	1101
280	429	1098
281	430	1095
282	431	1092
283	432	1089
284	432	1086
285	433	1083
286	434	1079
287	436	1078
288	437	1075
289	438	1072
290	438	1069
291	439	1066
292	440	1063
293	441	1060
294	442	1057
295	443	1054
296	444	1051
297	445	1048
298	446	1045
299	446	1042
300	447	1039
301	448	1036
302	449	1033
303	451	1032
304	451	1029
305	453	1027
306	454	1025
307	454	1022
308	455	1019
309	456	1016
310	457	1013
311	458	1010
312	459	1008
313	460	1005
314	460	1002
315	461	999
316	462	997
317	463	994
318	464	991
319	466	990
320	467	988
321	468	985
322	468	982
323	469	980
324	470	977
325	471	975
326	472	972
327	473	969
328	474	967
329	475	964
330	476	962
331	476	959
332	477	956
333	478	954
334	480	953
335	481	951
336	482	949
337	483	946
338	484	944
339	485	941
340	486	939
341	486	936
342	487	934
343	488	932
344	489	929
345	490	927
346	491	924
347	492	922
348	493	919
349	494	919
350	495	916
351	496	914
352	497	912
353	498	909
354	499	907
355	500	904
356	501	902
357	502	900
358	503	898
359	503	895
360	504	893
361	505	891
362	506	888
363	507	886
364	508	884
365	509	883
366	511	881
367	512	879
368	513	877
369	513	875
370	514	872
371	515	870
372	516	868
373	517	866
374	518	863
375	519	861
376	520	859
377	520	857
378	521	855
379	522	852
380	524	852
381	525	850
382	526	848
383	527	846
384	528	844
385	529	842
386	530	840
387	531	837
388	532	835
389	533	833
390	533	831
391	534	829
392	535	827
393	536	825
394	537	823
395	539	822
396	540	820
397	541	818
398	542	816
399	542	814
400	543	812
401	544	810
402	545	808
403	546	806
404	547	804
405	548	802
406	549	800
407	550	798
408	551	796
409	551	794
410	553	793
411	554	791
412	555	789
413	556	787
414	557	785
415	558	783
416	558	781
417	559	779
418	560	777
419	561	775
420	562	773
421	563	771
422	564	769
423	565	768
424	566	766
425	567	764
426	568	763
427	569	761
428	570	759
429	571	757
430	572	755
431	573	753
432	574	751
433	575	749
434	575	748
435	576	746
436	577	744
437	578	742
438	579	740
439	580	738
440	581	736
441	582	735
442	583	734
443	584	732
444	585	730
445	586	728
446	587	726
447	588	725
448	589	723
449	590	721
450	591	719
451	592	717
452	592	716
453	593	714
454	594	712
455	595	710
456	597	709
457	598	708
458	599	706
459	600	704
460	601	702
461	601	701
462	602	699
463	603	697
464	604	695
465	605	693
466	606	692
467	607	690
468	608	688
469	609	686
470	610	685
471	610	683
472	612	682
473	613	681
474	614	679
475	615	677
476	616	676
477	617	674
478	618	672
479	619	670
480	620	669
481	620	667
482	622	665
483	622	664
484	623	662
485	624	660
486	625	658
487	627	658
488	628	656
489	629	654
490	630	653
491	631	651
492	632	649
493	632	648
494	633	646
495	634	644
496	635	643
497	636	641
498	637	640
499	638	638
500	639	636
501	640	635
502	642	634
503	643	633
504	644	631
505	645	629
506	645	628
507	646	626
508	647	624
509	648	623
510	649	621
511	651	621
512	653	619
513	654	618
514	655	617
515	657	616
516	658	614
517	658	613
518	659	611
519	660	609
520	661	608
521	662	606
522	663	604
523	664	603
524	665	601
525	666	600
526	666	598
527	667	597
528	668	595
529	669	593
530	671	592
531	672	591
532	673	589
533	674	588
534	675	586
535	675	585
536	676	583
537	677	581
538	678	580
539	679	578
540	680	577
541	681	575
542	682	574
543	683	572
544	684	571
545	684	569
546	686	568
547	687	567
548	688	565
549	689	563
550	690	562
551	691	560
552	691	559
553	693	557
554	693	556
555	694	554
556	695	553
557	696	551
558	697	550
559	698	548
560	699	547
561	700	546
562	701	544
563	702	543
564	703	541
565	704	540
566	705	538
567	706	537
568	707	535
569	708	534
570	708	532
571	709	531
572	710	529
573	711	528
574	712	526
575	713	525
576	715	524
577	716	522
578	717	521
579	717	519
580	718	518
581	719	516
582	720	515
583	721	513
584	722	512
585	723	511
586	724	509
587	725	508
588	725	506
589	726	505
590	727	503
591	728	502
592	730	501
593	731	499
594	731	498
595	732	496
596	733	495
597	734	493
598	735	492
599	736	490
600	737	489
601	738	488
602	739	486
603	740	485
604	741	483
605	741	482
606	742	480
607	743	479
608	745	478
609	746	476
610	746	475
611	747	474
612	748	472
613	749	471
614	751	470
615	751	468
616	752	467
617	753	465
618	754	464
619	755	463
620	756	461
621	757	460
622	758	458
623	759	457
624	760	456
625	761	455
626	762	453
627	763	452
628	764	451
629	766	450
630	767	448
631	768	447
632	769	446
633	770	444
634	771	443
635	772	442
636	773	441
637	774	439
638	775	438
639	776	436
640	777	435
641	778	434
642	779	432
643	780	431
644	782	430
645	783	429
646	784	427
647	785	426
648	786	425
649	786	423
650	788	422
651	789	421
652	790	419
653	790	418
654	791	417
655	792	415
656	793	414
657	794	412
658	795	411
659	796	410
660	797	408
661	797	407
662	798	406
663	799	404
664	800	403
665	801	401
666	802	400
667	803	399
668	804	398
669	805	396
670	806	395
671	807	394
672	808	392
673	809	391
674	810	390
675	811	388
676	811	387
677	812	386
678	813	384
679	814	383
680	815	381
681	816	380
682	817	379
683	818	377
684	818	376
685	820	375
686	820	373
687	821	372
688	822	371
689	823	370
690	824	368
691	825	367
692	826	365
693	827	364
694	827	363
695	828	362
696	829	360
697	830	359
698	831	358
699	832	356
700	833	355
701	834	354
702	835	352
703	836	351
704	837	350
705	837	348
706	838	347
707	839	346
708	840	344
709	841	343
710	842	342
711	843	341
712	843	339
713	844	338
714	845	337
715	846	335
716	847	334
717	848	333
718	849	332
719	850	330
720	851	329
721	852	328
722	853	326
723	854	325
724	854	324
725	855	322
726	856	321
727	857	320
728	858	319
729	859	317
730	860	316
731	861	315
732	862	314
733	863	312
734	864	311
735	865	310
736	866	309
737	867	307
738	868	306
739	869	305
740	870	304
741	870	302
742	871	301
743	872	300
744	873	299
745	874	297
746	875	296
747	876	295
748	877	294
749	878	292
750	879	291
751	879	290
752	880	288
753	881	287
754	882	286
755	883	285
756	884	283
757	885	282
758	886	281
759	886	280
760	887	278
761	889	277
762	889	276
763	890	275
764	891	273
765	892	272
766	893	271
767	894	270
768	895	269
769	896	267
770	897	266
771	898	265
772	899	264
773	900	262
774	901	261
775	902	260
776	903	259
777	904	258
778	905	256
779	905	255
780	906	254
781	907	253
782	908	251
783	909	250
784	910	249
785	911	248
786	912	246
787	913	245
788	913	244
789	914	243
790	916	242
791	917	240
792	918	239
793	919	238
794	919	237
795	920	235
796	921	234
797	922	233
798	923	232
799	924	231
800	925	229
801	926	228
802	926	227
803	927	226
804	928	224
805	929	223
806	930	222
807	931	221
808	932	220
809	933	218
810	933	217
811	934	216
812	935	215
813	936	213
814	937	212
815	938	211
816	939	210
817	939	209
818	940	207
819	941	206
820	942	205
821	943	204
822	944	203
823	945	201
824	946	200
825	946	199
826	947	198
827	948	197
828	949	195
829	950	194
830	951	193
831	952	192
832	952	191
833	953	189
834	954	188
835	955	187
836	956	186
837	957	185
838	959	184
839	960	182
840	961	181
841	961	180
842	962	179
843	963	178
844	964	176
845	965	175
846	966	174
847	967	173
848	968	172
849	969	171
850	970	169
851	971	168
852	972	167
853	973	166
854	975	165
855	976	164
856	978	163
857	979	162
858	981	161
859	982	159
860	982	158
861	983	157
862	984	156
863	985	155
864	986	154
865	987	152
866	988	151
867	989	150
868	990	149
869	991	148
870	992	146
871	992	145
872	993	144
873	994	143
874	995	142
875	996	141
876	997	139
877	998	138
878	999	137
879	1000	136
